service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
66401,1,1,1,1,1,0,0,20240708,20240930
66402,1,1,1,1,0,0,0,20240708,20240930
66403,0,1,1,1,1,0,0,20240708,20240930
66404,0,1,1,1,1,0,0,20240708,20240930
66405,0,0,0,0,1,0,0,20240708,20240930
66406,0,0,0,0,0,1,0,20240708,20240930
66407,0,0,0,0,0,1,0,20240708,20240930
66408,0,0,0,0,0,0,1,20240708,20240930
66409,0,0,0,0,0,0,1,20240708,20240930
66410,0,0,1,1,1,1,0,20240708,20240930
66411,0,1,1,1,1,1,0,20240708,20240930
66412,0,1,1,1,1,1,0,20240708,20240930
66413,1,0,0,0,0,0,0,20240708,20240930
66414,1,0,0,0,0,0,0,20240708,20240930
66415,1,0,0,0,0,0,0,20240708,20240930
66416,0,1,0,0,0,0,0,20240708,20240930
66417,0,1,0,0,0,0,0,20240708,20240930
66418,1,0,1,1,1,0,0,20240708,20240930
66419,1,0,1,1,1,0,0,20240708,20240930
66420,0,0,1,0,0,0,0,20240708,20240930
66421,0,0,1,0,0,0,0,20240708,20240930
66422,1,1,0,1,1,0,0,20240708,20240930
66423,1,1,0,1,1,0,0,20240708,20240930
66424,0,0,0,1,0,0,0,20240708,20240930
66425,0,0,0,1,0,0,0,20240708,20240930
66426,1,1,1,0,1,0,0,20240708,20240930
66427,1,1,1,0,1,0,0,20240708,20240930
66428,0,1,1,0,0,0,0,20240708,20240930
66429,0,1,1,0,0,0,0,20240708,20240930
66430,1,0,0,1,1,0,0,20240708,20240930
66431,1,0,0,1,1,0,0,20240708,20240930
66432,1,1,0,0,1,0,0,20240708,20240930
66433,1,1,0,0,1,0,0,20240708,20240930
66434,1,1,1,1,1,0,1,20240708,20240930
66435,1,1,1,1,1,0,1,20240708,20240930
66436,1,1,1,1,1,1,0,20240708,20240930
66437,1,1,1,1,1,1,0,20240708,20240930
66438,1,1,1,1,1,1,0,20240708,20240930
66439,1,1,1,1,1,0,0,20240708,20240930
66440,1,1,1,1,0,0,1,20240708,20240930
66441,0,1,1,0,1,0,0,20240708,20240930
66442,0,1,1,0,1,0,0,20240708,20240930
108301,1,1,1,1,1,0,0,20240708,20240930
108302,1,1,1,1,0,0,0,20240708,20240930
108303,0,1,1,1,1,0,0,20240708,20240930
108304,0,1,1,1,1,0,0,20240708,20240930
108305,0,0,0,0,1,0,0,20240708,20240930
108306,0,0,0,0,0,1,0,20240708,20240930
108307,0,0,0,0,0,1,0,20240708,20240930
108308,0,0,0,0,0,0,1,20240708,20240930
108309,0,0,0,0,0,0,1,20240708,20240930
108310,0,0,1,1,1,1,0,20240708,20240930
108311,0,1,1,1,1,1,0,20240708,20240930
108312,0,1,1,1,1,1,0,20240708,20240930
108313,1,0,0,0,0,0,0,20240708,20240930
108314,1,0,0,0,0,0,0,20240708,20240930
108315,1,0,0,0,0,0,0,20240708,20240930
108316,0,1,0,0,0,0,0,20240708,20240930
108317,0,1,0,0,0,0,0,20240708,20240930
108318,1,0,1,1,1,0,0,20240708,20240930
108319,1,0,1,1,1,0,0,20240708,20240930
108320,0,0,1,0,0,0,0,20240708,20240930
108321,0,0,1,0,0,0,0,20240708,20240930
108322,1,1,0,1,1,0,0,20240708,20240930
108323,1,1,0,1,1,0,0,20240708,20240930
108324,0,0,0,1,0,0,0,20240708,20240930
108325,0,0,0,1,0,0,0,20240708,20240930
108326,1,1,1,0,1,0,0,20240708,20240930
108327,1,1,1,0,1,0,0,20240708,20240930
108328,0,1,1,0,0,0,0,20240708,20240930
108329,0,1,1,0,0,0,0,20240708,20240930
108330,1,0,0,1,1,0,0,20240708,20240930
108331,1,0,0,1,1,0,0,20240708,20240930
108332,1,1,0,0,1,0,0,20240708,20240930
108333,1,1,0,0,1,0,0,20240708,20240930
108334,1,1,1,1,1,0,1,20240708,20240930
108335,1,1,1,1,1,0,1,20240708,20240930
108336,1,1,1,1,1,1,0,20240708,20240930
108337,1,1,1,1,1,1,0,20240708,20240930
108338,1,1,1,1,1,1,0,20240708,20240930
108339,1,1,1,1,1,0,0,20240708,20240930
108340,1,1,1,1,0,0,1,20240708,20240930
108341,0,1,1,0,1,0,0,20240708,20240930
108342,0,1,1,0,1,0,0,20240708,20240930
208301,1,1,1,1,1,0,0,20240708,20240930
