service_id,date,exception_type
66401,20240902,2
66402,20240902,2
66403,20240902,2
66404,20240903,2
66405,20240902,2
66406,20240902,2
66407,20240903,2
66408,20240903,2
66409,20240902,1
66410,20240903,2
66411,20240902,2
66412,20240903,2
66413,20240902,2
66414,20240903,2
66415,20240903,1
66416,20240902,2
66417,20240903,2
66418,20240902,2
66419,20240903,2
66420,20240902,2
66421,20240903,2
66422,20240902,2
66423,20240903,2
66424,20240902,2
66425,20240903,2
66426,20240902,2
66427,20240903,2
66428,20240902,2
66429,20240903,2
66430,20240902,2
66431,20240903,2
66432,20240902,2
66433,20240903,2
66434,20240902,2
66435,20240903,2
66436,20240902,2
66437,20240903,2
66438,20240903,1
66439,20240903,1
66440,20240902,1
66441,20240902,2
66442,20240903,2
108301,20240902,2
108302,20240902,2
108303,20240902,2
108304,20240903,2
108305,20240902,2
108306,20240902,2
108307,20240903,2
108308,20240903,2
108309,20240902,1
108310,20240903,2
108311,20240902,2
108312,20240903,2
108313,20240902,2
108314,20240903,2
108315,20240903,1
108316,20240902,2
108317,20240903,2
108318,20240902,2
108319,20240903,2
108320,20240902,2
108321,20240903,2
108322,20240902,2
108323,20240903,2
108324,20240902,2
108325,20240903,2
108326,20240902,2
108327,20240903,2
108328,20240902,2
108329,20240903,2
108330,20240902,2
108331,20240903,2
108332,20240902,2
108333,20240903,2
108334,20240902,2
108335,20240903,2
108336,20240902,2
108337,20240903,2
108338,20240903,1
108339,20240903,1
108340,20240902,1
108341,20240902,2
108342,20240903,2
208301,20240902,2
